Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
hero_low.txt,18,15,98.78,77.41,63.35,1,15,20,86.67,66.67,60,6.67,6.67,0,0,0,0,6.67,0,26.67,13.33,0,20,0,6.67,6.67,0,6.67,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,6.67,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,0,6.67,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,13.33,0,6.67,0,6.67,6.67,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0
hero_low.txt,19,10,89.52,40.06,98.38,20.23,10,30,80,70,40,0,0,0,0,0,0,0,0,10,10,0,10,0,10,10,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,20,0,10,0,0,0,10,20,20,0,0,0,0,0,0,0,10,10,0,0,0,0,0
hero_low.txt,20,28,89.52,91.33,99,20.23,28,7.14,92.86,82.14,60.71,17.86,14.29,0,0,0,0,14.29,3.57,7.14,7.14,0,28.57,3.57,0,14.29,0,14.29,14.29,3.57,0,0,0,0,10.71,0,10.71,0,3.57,3.57,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,17.86,0,7.14,14.29,0,0,0,10.71,7.14,0,0,0,0,0,0,0,7.14,3.57,3.57,0,0,0,0
hero_low.txt,21,24,99,94.84,39.59,1,24,20.83,79.17,62.5,54.17,12.5,12.5,0,0,0,12.5,0,0,12.5,8.33,0,29.17,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,4.17,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,29.17,0,12.5,16.67,0,4.17,0,0,4.17,0,0,0,0,0,0,0,16.67,4.17,8.33,0,0,4.17,0
hero_high.txt,1,19,98,70.59,70.28,20.23,19,10.53,89.47,73.68,47.37,5.26,5.26,0,0,0,5.26,0,0,21.05,15.79,5.26,15.79,0,10.53,5.26,0,5.26,5.26,15.79,0,0,0,0,5.26,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,5.26,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,5.26,21.05,10.53,0,0,0,0,0,0,0,15.79,5.26,5.26,0,0,0,5.26
hero_high.txt,2,19,95.09,99,33.61,20.23,19,15.79,89.47,68.42,57.89,15.79,15.79,0,0,0,15.79,0,0,21.05,0,0,26.32,5.26,0,0,0,10.53,5.26,10.53,0,0,0,0,15.79,10.53,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05,0,0,0,0,0,0,21.05,0,0,0,15.79,0,0,0,0,10.53,0,5.26,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.11,0,0,31.58,10.53,0,0,0,5.26,0,5.26,0,0,0,0,0,10.53,5.26,5.26,0,0,0,0
hero_high.txt,3,5,1,99,1,99,5,0,100,80,80,20,20,0,0,20,0,0,0,20,20,0,0,40,0,0,20,40,0,0,0,0,0,0,20,0,20,0,0,20,0,0,20,0,20,20,0,0,0,0,0,0,0,0,40,20,0,0,0,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,40,20,0,0,0,20,0
hero_high.txt,4,4,89.52,1,99,20.23,4,25,75,75,75,0,0,0,0,0,0,0,0,25,25,0,25,0,25,0,25,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0
hero_high.txt,5,2,1,40.06,1,20.23,2,50,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0
hero_high.txt,6,9,98.16,92.24,1,1,9,0,88.89,66.67,33.33,11.11,11.11,0,0,0,11.11,0,0,11.11,0,0,22.22,0,0,0,0,22.22,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,22.22,11.11,0,11.11,0,0,11.11,0,22.22,11.11,0,0,0,0,11.11,11.11,0,0,0,11.11,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0
